product_id,attibutename,attributevalue
268481738,blouse_color,Green
268606399,blouse_color,Pink
268611334,blouse_color,Blue
268566292,blouse_color,Maroon
268395552,blouse_color,Maroon
268321495,blouse_color,Blue
268607763,blouse_color,Pink
268378825,blouse_color,Not Available
268420831,blouse_color,Multicolor
268283843,blouse_color,Grey
268569891,blouse_color,Red
268565127,blouse_color,Purple
268299442,blouse_color,Not Available
268548675,blouse_color,Pink
268408709,blouse_color,Orange
268568488,blouse_color,Green
268549981,blouse_color,Not Available
268362889,blouse_color,Not Available
268560816,blouse_color,Purple
268085458,blouse_color,Blue
268557348,blouse_color,Blue
268129735,blouse_color,Not Available
268551511,blouse_color,Not Available
268607117,blouse_color,Not Available
268561231,blouse_color,Blue
268505059,blouse_color,Not Available
268396354,blouse_color,Purple
268532163,blouse_color,Black
268574439,blouse_color,Yellow
268367512,blouse_color,Not Available
268140687,blouse_color,Green
268428283,blouse_color,Blue
268410185,blouse_color,Green
268387753,blouse_color,Blue
268388047,blouse_color,White
268578434,blouse_color,Not Available
268213729,blouse_color,Pink
268403805,blouse_color,Green
268394732,blouse_color,Green
268414429,blouse_color,Not Available
268565282,blouse_color,Not Available
268417155,blouse_color,Pink
268342699,blouse_color,Yellow
268316960,blouse_color,White
268419888,blouse_color,Green
268409046,blouse_color,Multicolor
268328796,blouse_color,Red
268642462,blouse_color,Red
268122278,blouse_color,Pink
268329940,blouse_color,Black
268312516,blouse_color,Multicolor
268540463,blouse_color,Cream
268423800,blouse_color,Grey
268425397,blouse_color,Black
268555681,blouse_color,Not Available
268278079,blouse_color,Pink
268139046,blouse_color,Grey
268578428,blouse_color,Not Available
268407950,blouse_color,Multicolor
268544109,blouse_color,White
268030423,blouse_color,Not Available
268394661,blouse_color,Green
268373784,blouse_color,Not Available
268325205,blouse_color,Red
268291808,blouse_color,Green
268433720,blouse_color,White
268123343,blouse_color,Not Available
268423725,blouse_color,Multicolor
268467903,blouse_color,Not Available
268449166,blouse_color,Green
268332138,blouse_color,Green
268408480,blouse_color,Black
268326678,blouse_color,Pink
268287745,blouse_color,Pink
268263440,blouse_color,Black
268553959,blouse_color,Not Available
268437004,blouse_color,Grey
268549800,blouse_color,Not Available
268251678,blouse_color,Not Available
268411676,blouse_color,Purple
268603796,blouse_color,Blue
268564104,blouse_color,Multicolor
268409819,blouse_color,Multicolor
268286822,blouse_color,Not Available
268439348,blouse_color,Green
268357625,blouse_color,Orange
268546337,blouse_color,Green
268559577,blouse_color,Blue
268533319,blouse_color,White
268446207,blouse_color,Blue
268597352,blouse_color,White
268477140,blouse_color,Not Available
268479422,blouse_color,Not Available
268522479,blouse_color,Not Available
268372282,blouse_color,Black
268409926,blouse_color,Pink
268558365,blouse_color,Not Available
268419427,blouse_color,Green
268397591,blouse_color,Aqua Blue
268563895,blouse_color,Black
268423170,blouse_color,Purple
268332142,blouse_color,Black
268256704,blouse_color,White
268393690,blouse_color,Pink
268250627,blouse_color,Not Available
268335137,blouse_color,Black
268383188,blouse_color,Green
268376724,blouse_color,Purple
268391794,blouse_color,Pink
268381056,blouse_color,Green
268319169,blouse_color,Green
268367638,blouse_color,Green
268435126,blouse_color,Pink
268298779,blouse_color,Multicolor
268402246,blouse_color,Pink
268579107,blouse_color,Green
268545997,blouse_color,Green
268574891,blouse_color,Black
268254049,blouse_color,Not Available
268249467,blouse_color,Not Available
268409505,blouse_color,Teal
268382097,blouse_color,Grey
268444714,blouse_color,Pink
268567579,blouse_color,Multicolor
268408160,blouse_color,Blue
268447978,blouse_color,Not Available
268600209,blouse_color,White
268507005,blouse_color,Blue
268564613,blouse_color,Not Available
268395425,blouse_color,Not Available
268404070,blouse_color,Blue
268386900,blouse_color,Green
268477335,blouse_color,Not Available
268370281,blouse_color,Peach
268399522,blouse_color,Blue
268425984,blouse_color,Green
268410190,blouse_color,Multicolor
268545352,blouse_color,Multicolor
268250541,blouse_color,White
268399620,blouse_color,Multicolor
268259538,blouse_color,Not Available
268572738,blouse_color,Blue
268508537,blouse_color,Black
268566111,blouse_color,Yellow
268409756,blouse_color,Black
268400938,blouse_color,Multicolor
268359427,blouse_color,White
268560766,blouse_color,Black
268380429,blouse_color,Not Available
268281707,blouse_color,Blue
268613537,blouse_color,Pink
268571837,blouse_color,Not Available
